VTHP,freq
0.34123145,1.74E+09
0.412112884,1.75E+09
0.426496266,1.72E+09
0.402270893,1.65E+09
0.416794488,1.77E+09
0.386267034,1.73E+09
0.397969377,1.65E+09
0.423519121,1.76E+09
0.339687572,1.77E+09
0.329471442,1.78E+09
0.421197337,1.67E+09
0.428317649,1.75E+09
0.413929862,1.63E+09
0.40555211,1.63E+09
0.334449652,1.62E+09
0.365712366,1.78E+09
0.346149925,1.68E+09
0.39641073,1.78E+09
0.410245499,1.75E+09
0.364859772,1.68E+09
0.345225799,1.74E+09
0.404847387,1.62E+09
0.374603451,1.76E+09
0.429214646,1.79E+09
0.377261265,1.66E+09
0.416170205,1.64E+09
0.36600139,1.76E+09
0.419085119,1.63E+09
0.409270368,1.67E+09
0.363141498,1.62E+09
0.348054698,1.62E+09
0.355847053,1.75E+09
0.438161643,1.65E+09
0.439044306,1.59E+09
0.392094713,1.77E+09
0.435766385,1.74E+09
0.372508034,1.74E+09
0.410513846,1.64E+09
0.35863794,1.76E+09
0.442354839,1.59E+09
0.420700405,1.59E+09
0.367481089,1.58E+09
0.413145631,1.76E+09
0.402191423,1.76E+09
0.397219597,1.68E+09
0.411844506,1.76E+09
0.352939288,1.61E+09
0.39939315,1.75E+09
0.376428563,1.73E+09
0.424693748,1.74E+09
0.38628267,1.71E+09
0.443016725,1.74E+09
0.337276336,1.59E+09
0.413433492,1.68E+09
0.351482755,1.73E+09
0.400149709,1.70E+09
0.471398398,1.58E+09
0.381350912,1.71E+09
0.372330753,1.75E+09
0.373018527,1.69E+09
0.33320564,1.60E+09
0.410273613,1.70E+09
0.318486813,1.64E+09
0.38330006,1.71E+09
0.456431261,1.57E+09
0.405794506,1.69E+09
0.393631855,1.66E+09
0.463109532,1.56E+09
0.462494983,1.72E+09
0.376216537,1.57E+09
0.376881244,1.69E+09
0.401151975,1.73E+09
0.37765601,1.67E+09
0.436813847,1.54E+09
0.425551409,1.70E+09
0.452563705,1.66E+09
0.416690518,1.73E+09
0.336844579,1.54E+09
0.392442516,1.72E+09
0.436206254,1.53E+09
0.381543134,1.64E+09
0.324852469,1.69E+09
0.372384367,1.55E+09
0.41975426,1.71E+09
0.373826023,1.53E+09
0.423340221,1.52E+09
0.38370181,1.60E+09
0.390516833,1.67E+09
0.453231104,1.67E+09
0.396620512,1.52E+09
0.401245384,1.52E+09
0.408649103,1.58E+09
0.368844124,1.60E+09
0.432510548,1.59E+09
0.396778014,1.53E+09
0.411278846,1.66E+09
0.494417639,1.65E+09
0.374927934,1.69E+09
0.308062038,1.63E+09
0.365188136,1.67E+09
0.424710375,1.55E+09
0.384873233,1.58E+09
0.352325628,1.71E+09
0.420358415,1.68E+09
0.384182457,1.70E+09
0.361110156,1.61E+09
0.491078522,1.51E+09
0.371776568,1.64E+09
0.380465412,1.69E+09
0.366058176,1.50E+09
0.421285261,1.69E+09
0.38548177,1.49E+09
0.343878034,1.49E+09
0.454049847,1.50E+09
0.422241508,1.70E+09
0.431385319,1.67E+09
0.355405548,1.50E+09
0.36851149,1.52E+09
0.417147564,1.63E+09
0.37098037,1.57E+09
0.344769022,1.64E+09
0.397753948,1.67E+09
0.347977166,1.59E+09
0.435879066,1.65E+09
0.414432358,1.57E+09
0.353819732,1.47E+09
0.413130728,1.70E+09
0.415289621,1.63E+09
0.406320224,1.57E+09
0.44035434,1.64E+09
0.365030576,1.52E+09
0.354081692,1.48E+09
0.4064108,1.60E+09
0.372590279,1.69E+09
0.407592943,1.51E+09
0.456211439,1.48E+09
0.407813892,1.54E+09
0.398167949,1.67E+09
0.406366918,1.68E+09
0.397818524,1.62E+09
0.395758823,1.68E+09
0.428099457,1.51E+09
0.395988615,1.58E+09
0.358955637,1.49E+09
0.350916719,1.45E+09
0.417281462,1.66E+09
0.354280217,1.54E+09
0.390840783,1.67E+09
0.376007733,1.45E+09
0.406281973,1.55E+09
0.383945828,1.61E+09
0.38946649,1.66E+09
0.395407421,1.50E+09
0.402514307,1.45E+09
0.379794017,1.59E+09
0.433086842,1.46E+09
0.277850079,1.44E+09
0.372233997,1.57E+09
0.375034603,1.64E+09
0.398359793,1.63E+09
0.421680108,1.52E+09
0.335210282,1.47E+09
0.415031555,1.55E+09
0.373444806,1.46E+09
0.423823596,1.53E+09
0.392122528,1.45E+09
0.396448981,1.53E+09
0.338067973,1.64E+09
0.391877043,1.43E+09
0.499732655,1.64E+09
0.378071482,1.51E+09
0.347517732,1.49E+09
0.39716957,1.44E+09
0.348226119,1.41E+09
0.413360255,1.52E+09
0.455224951,1.62E+09
0.456210586,1.47E+09
0.389694475,1.48E+09
0.366000442,1.39E+09
0.428701663,1.60E+09
0.427169071,1.43E+09
0.405015628,1.40E+09
0.401577428,1.59E+09
0.428236515,1.57E+09
0.351218954,1.58E+09
0.371774679,1.33E+09
0.337276393,1.34E+09
0.400179624,1.48E+09
0.414959246,1.49E+09
0.429135645,1.41E+09
0.336001352,1.52E+09
0.324853904,1.27E+09
0.399570842,1.50E+09
0.396528491,1.34E+09
0.395833148,1.23E+09
0.405825551,1.29E+09
0.42740318,1.32E+09
0.362947343,1.05E+09
0.441317775,1.18E+09
0.351017897,1.09E+09
